"gamedate","year","season","gametype","team1","r1_before","score1","score2","team2","r2_before","E1","delta"
"2006-04-29",2006,"春","東京六大学","立教",1441.3179241793528,2,16,"法政",1668.3022736353023,0.2392964963302017,-11.897937793553313
"2006-04-30",2006,"春","東京六大学","東大",1200.0477048780394,0,7,"慶應",1544.3610024950312,0.15001017756130808,-6.2264374322968346
"2006-04-30",2006,"春","東京六大学","法政",1680.2002114288557,15,5,"立教",1429.4199863857993,0.7834764240510088,10.460334727031363
"2006-05-06",2006,"春","東京六大学","東大",1193.8212674457427,0,14,"明治",1538.9261470096585,0.14724242675826127,-7.295234314956292
"2006-05-06",2006,"春","東京六大学","立教",1418.959651658768,4,5,"早稲田",1607.044947802616,0.2757937948916471,-3.2532602685308483
"2006-05-08",2006,"春","東京六大学","早稲田",1610.2982080711467,4,1,"立教",1415.7063913902373,0.7320255101719741,7.604210579672454
"2006-05-08",2006,"春","東京六大学","明治",1546.2213813246149,5,1,"東大",1186.5260331307863,0.8632533127531955,2.7503068734858136
"2006-05-14",2006,"春","東京六大学","慶應",1550.587439927328,9,3,"明治",1548.9716881981008,0.5020879436775451,22.990201985307113
"2006-05-14",2006,"春","東京六大学","早稲田",1617.9024186508193,9,0,"法政",1690.660546155887,0.40713535509020976,29.086243976905024
"2006-05-15",2006,"春","東京六大学","明治",1525.9814862127937,6,4,"慶應",1573.577641912635,0.43845248524484826,20.11330921759483
"2006-05-15",2006,"春","東京六大学","法政",1661.574302178982,3,1,"早稲田",1646.9886626277244,0.5189352684482139,16.089170057426543
"2006-05-16",2006,"春","東京六大学","慶應",1553.4643326950402,4,3,"明治",1546.0947954303886,0.5096296852787561,13.98208626001069
"2006-05-16",2006,"春","東京六大学","早稲田",1630.8994925702978,4,1,"法政",1677.6634722364086,0.4392276693506054,22.24410262074089
"2006-05-20",2006,"春","東京六大学","明治",1532.112709170378,4,7,"法政",1655.4193696156676,0.34298895385306793,-11.35493378092456
"2006-05-20",2006,"春","東京六大学","東大",1183.7757262573004,1,6,"立教",1408.1021808105647,0.23930782908091847,-9.150465180201174
"2006-05-21",2006,"春","東京六大学","法政",1666.7743033965921,5,1,"明治",1520.7577753894534,0.6842589555564058,11.700024733325298
"2006-05-21",2006,"春","東京六大学","立教",1417.2526459907658,10,5,"東大",1174.6252610770994,0.7787172738015119,8.249210036079651
"2006-05-28",2006,"春","東京六大学","慶應",1567.4464189550508,0,3,"早稲田",1653.1435951910387,0.38968879651170296,-13.68992591385631
"2006-05-29",2006,"春","東京六大学","早稲田",1666.833521104895,6,7,"慶應",1553.7564930411945,0.6445120106072915,-21.689171054313068
"2006-05-30",2006,"春","東京六大学","慶應",1575.4456640955075,2,8,"早稲田",1645.144350050582,0.40889289936610584,-18.539244137489657
"2006-09-09",2006,"秋","東京六大学","東大",1166.3760510410198,0,4,"法政",1678.4743281299175,0.07029102875657856,0.5724760510254834
"2006-09-09",2006,"秋","東京六大学","立教",1425.5018560268454,0,8,"慶應",1556.9064199580178,0.33839084383311036,-16.07474609218235
"2006-09-10",2006,"秋","東京六大学","慶應",1572.9811660502,5,3,"立教",1409.4271099346631,0.6984332469569745,7.114271131988515
"2006-09-10",2006,"秋","東京六大学","法政",1677.901852078892,7,2,"東大",1166.9485270920452,0.9304973640758722,0.6602055223616343
"2006-09-16",2006,"秋","東京六大学","明治",1509.057750656128,1,4,"立教",1402.3128388026746,0.6343695062901954,-25.923961402780932
"2006-09-16",2006,"秋","東京六大学","東大",1166.2883215696836,0,11,"早稲田",1663.6835941880718,0.07339674782089653,-3.4301432257623254
"2006-09-17",2006,"秋","東京六大学","早稲田",1667.113737413834,7,0,"東大",1162.8581783439213,0.9300309334753052,2.2243818804661695
"2006-09-17",2006,"秋","東京六大学","立教",1428.2368002054554,4,2,"明治",1483.1337892533472,0.4292214124354413,20.574862858065174
"2006-09-23",2006,"秋","東京六大学","早稲田",1669.3381192943002,1,7,"明治",1462.558926395282,0.7463867198259981,-35.41393516048427
"2006-09-23",2006,"秋","東京六大学","法政",1678.5620576012536,0,4,"慶應",1580.0954371821886,0.6248041601631782,-27.1531805193045
"2006-09-24",2006,"秋","東京六大学","慶應",1607.248617701493,4,5,"法政",1651.4088770819492,0.44274760740230285,-11.600950894063635
"2006-09-24",2006,"秋","東京六大学","明治",1497.9728615557663,2,3,"早稲田",1633.924184133816,0.32883677530953187,-5.905409289425085
"2006-09-25",2006,"秋","東京六大学","早稲田",1639.829593423241,4,2,"明治",1492.0674522663412,0.6855360619075959,7.759130384457446
"2006-09-25",2006,"秋","東京六大学","法政",1663.0098279760127,4,3,"慶應",1595.6476668074295,0.5872879417363178,10.099173437132603
"2006-09-30",2006,"秋","東京六大学","東大",1160.6337964634552,0,4,"慶應",1585.548493370297,0.09945471345188293,-0.8857081837397356
"2006-09-30",2006,"秋","東京六大学","立教",1448.8116630635207,1,4,"法政",1673.1090014131453,0.23588664337791862,-5.999818257167094
"2006-10-01",2006,"秋","東京六大学","慶應",1586.4342015540367,5,1,"東大",1159.7480882797154,0.9024649678136365,0.789724120463764
"2006-10-01",2006,"秋","東京六大学","法政",1679.1088196703124,0,1,"立教",1442.8118448063535,0.7763571144324988,-28.28142624557343
"2006-10-02",2006,"秋","東京六大学","立教",1471.0932710519269,3,4,"法政",1650.827393424739,0.27863603265517223,-3.3953721567071034
"2006-10-07",2006,"秋","東京六大学","早稲田",1647.5887238076984,3,0,"立教",1467.6978988952199,0.7215984032666192,8.125565924940204
"2006-10-07",2006,"秋","東京六大学","東大",1158.9583641592517,0,9,"明治",1484.3083218818838,0.15388007268819906,-7.137015365825465
"2006-10-08",2006,"秋","東京六大学","明治",1491.4453372477092,8,4,"東大",1151.8213487934263,0.85672687910065215,3.0766285561129814
"2006-10-08",2006,"秋","東京六大学","立教",1459.5723329702796,0,3,"早稲田",1655.7142897326387,0.2605320972627462,-7.232090951408472
"2006-10-14",2006,"秋","東京六大学","早稲田",1662.9463806840472,3,0,"法政",1654.222765581446,0.5116441636672675,18.623277904907788
"2006-10-14",2006,"秋","東京六大学","明治",1494.5219658038222,5,4,"慶應",1587.2239256745004,0.37889016927886254,20.519062060005368
"2006-10-15",2006,"秋","東京六大学","慶應",1566.704863614495,0,1,"明治",1515.0410278638276,0.5687177879759737,-17.89945992274718
"2006-10-15",2006,"秋","東京六大学","法政",1635.5994876765383,1,6,"早稲田",1681.569658588955,0.4386842858863585,-19.119288020473174
"2006-10-21",2006,"秋","東京六大学","明治",1532.9404877865747,6,0,"法政",1616.480199656065,0.3893338629416305,28.627906022102838
"2006-10-21",2006,"秋","東京六大学","東大",1148.7447202373132,1,12,"立教",1452.340242018871,0.16727596917580892,-8.124104293507944
"2006-10-22",2006,"秋","東京六大学","法政",1587.852293633962,5,6,"明治",1561.5683938086777,0.535475156349767,-16.23732834143684
"2006-10-22",2006,"秋","東京六大学","立教",1460.4643463123791,3,0,"東大",1140.6206159438052,0.8453823941655596,1.9363663799931818
"2006-10-28",2006,"秋","東京六大学","早稲田",1700.6889466094283,1,5,"慶應",1548.8054036917479,0.6933394332609142,-30.579944174191297
"2006-10-29",2006,"秋","東京六大学","慶應",1579.3853478659391,2,4,"早稲田",1670.109002435237,0.3800919514815957,-11.04053105391703
"2006-10-30",2006,"秋","東京六大学","早稲田",1681.149533489154,1,2,"慶應",1568.3448168120221,0.6480390235122729,-21.86552169956214
"2007-04-14",2007,"春","東京六大学","東大",1138.684249563812,0,8,"早稲田",1659.284011789592,0.07568647974174965,-2.9395278876143163
"2007-04-14",2007,"春","東京六大学","立教",1462.4007126923723,1,5,"慶應",1590.2103385115843,0.3496882964187859,-13.397387332084884
"2007-04-15",2007,"春","東京六大学","慶應",1603.6077258436692,8,0,"立教",1449.0033253602874,0.6806947639402138,15.120465703516144
"2007-04-15",2007,"春","東京六大学","早稲田",1662.2235396772062,12,2,"東大",1135.7447216761977,0.9278188461395784,3.2432136226028807
"2007-04-21",2007,"春","東京六大学","東大",1132.5015080535948,0,8,"明治",1577.8057221501144,0.1034805488585742,-4.329231343455544
"2007-04-21",2007,"春","東京六大学","立教",1433.8828596567712,8,10,"法政",1571.6149652925253,0.33746627713430305,-8.909247336552397
"2007-04-22",2007,"春","東京六大学","明治",1582.13495349357,6,1,"東大",1128.1722767101392,0.9020543589332595,2.082355779492273
"2007-04-22",2007,"春","東京六大学","法政",1580.5242126290777,6,4,"立教",1424.9736123202188,0.6831252558748484,7.879670686094819
"2007-04-28",2007,"春","東京六大学","早稲田",1665.4667532998092,3,0,"法政",1588.4038833151726,0.5946266961632222,14.474151280110053
"2007-04-29",2007,"春","東京六大学","慶應",1618.7281915471854,0,9,"明治",1584.2173092730623,0.5427248300228213,-26.57925323255658
"2007-04-29",2007,"春","東京六大学","法政",1573.9297320350624,2,13,"早稲田",1679.9409045799193,0.37027267229323657,-18.273939449379327
"2007-04-30",2007,"春","東京六大学","明治",1610.7965625056188,7,5,"慶應",1592.1489383146288,0.5233028072430502,15.870793117684729
"2007-05-05",2007,"春","東京六大学","慶應",1576.278145196944,6,0,"東大",1126.089920930647,0.9031811349936112,2.935542419503806
"2007-05-05",2007,"春","東京六大学","早稲田",1698.2148440292985,7,5,"立教",1417.093941634124,0.8042139811195868,1.8252344238579021
"2007-05-07",2007,"春","東京六大学","東大",1123.154378511143,0,11,"慶應",1579.213687616448,0.09282539857858331,-4.401575763646664
"2007-05-07",2007,"春","東京六大学","立教",1415.268707210266,3,4,"早稲田",1700.0400784531564,0.19133607046936174,0.9696259525834208
"2007-05-12",2007,"春","東京六大学","明治",1626.6673556233036,4,0,"立教",1416.2383331628494,0.7434721769344038,8.739363664425397
"2007-05-12",2007,"春","東京六大学","東大",1118.7528027474964,0,8,"法政",1555.6557925856832,0.10103126474567972,-4.20676713781082
"2007-05-13",2007,"春","東京六大学","法政",1559.862559723494,2,2,"東大",1114.5460356096855,0.9041485831266252,-20.20742915633126
"2007-05-13",2007,"春","東京六大学","立教",1407.498969498424,1,3,"明治",1635.406719287729,0.2386063174379203,-3.96624935173326
"2007-05-14",2007,"春","東京六大学","東大",1134.7534647660168,3,7,"法政",1539.6551305671628,0.1135729943476994,-1.5916222285305586
"2007-05-19",2007,"春","東京六大学","慶應",1583.6152633800946,7,4,"法政",1541.2467527956933,0.5540062125714055,16.505175459700887
"2007-05-19",2007,"春","東京六大学","明治",1639.3729686394622,0,2,"早稲田",1699.070452500573,0.4241857105295242,-13.245219006313455
"2007-05-20",2007,"春","東京六大学","早稲田",1712.3156715068865,5,0,"明治",1626.1277496331488,0.6092070120977888,16.724723121265804
"2007-05-20",2007,"春","東京六大学","法政",1524.7415773359924,2,3,"慶應",1600.1204388397955,0.40413884237650644,-9.670512642773813
"2007-05-26",2007,"春","東京六大学","東大",1133.1618425374863,0,11,"立教",1403.5327201466907,0.20086746361091354,-9.803679015263175
"2007-05-26",2007,"春","東京六大学","法政",1515.0710646932187,3,7,"明治",1609.4030265118831,0.3800484037056891,-14.915392696430043
"2007-05-27",2007,"春","東京六大学","明治",1624.3184192083131,7,6,"法政",1500.1556719967887,0.6564909397076665,6.639023538565169
"2007-05-27",2007,"春","東京六大学","立教",1413.336399161954,12,0,"東大",1123.358163522223,0.816142119251104,9.03610994514364
"2007-06-02",2007,"春","東京六大学","慶應",1609.7909514825692,7,3,"早稲田",1729.0403946281522,0.35041812202025385,28.392066410132898
"2007-06-03",2007,"春","東京六大学","早稲田",1700.6483282180193,9,5,"慶應",1638.183017892702,0.5805786107533777,16.884041973476705
"2007-06-04",2007,"春","東京六大学","慶應",1621.2989759192253,2,7,"早稲田",1717.532370191496,0.3766851197426525,-16.019329713287874
"2007-09-08",2007,"秋","東京六大学","慶應",1605.2796462059375,1,2,"立教",1422.3725091070976,0.7153266678504664,-25.229903916471812
"2007-09-08",2007,"秋","東京六大学","早稲田",1733.5516999047838,9,1,"東大",1114.3220535770795,0.9572587919965705,1.2922643006983092
"2007-09-09",2007,"秋","東京六大学","東大",1113.0297892763813,1,10,"早稲田",1734.843964205482,0.04132038675912005,-1.509031069371515
"2007-09-09",2007,"秋","東京六大学","立教",1447.6024130235694,3,4,"慶應",1580.0497422894657,0.3380780539217181,-6.367473220034396
"2007-09-10",2007,"秋","東京六大学","慶應",1586.4172155095,4,1,"立教",1441.234939803535,0.6772982778888559,10.340572193828368
"2007-09-15",2007,"秋","東京六大学","東大",1111.5207582070097,3,4,"明治",1630.9574427468783,0.06796911826846518,7.1379735626282494
"2007-09-15",2007,"秋","東京六大学","立教",1430.8943676097067,11,4,"法政",1493.5166484582235,0.42096064332543265,27.677896387959798
"2007-09-16",2007,"秋","東京六大学","明治",1623.81946918425,10,1,"東大",1118.658731769638,0.9285140605087561,3.0173087059777117
"2007-09-16",2007,"秋","東京六大学","法政",1465.8387520702636,4,6,"立教",1458.5722639976666,0.5093080488049425,-17.501335920084372
