"gamedate","gametype","team1","score1","score2","team2"
"2001-10-30","東京六大学","東大",0,14,"早稲田"
"2001-10-30","東京六大学","東大",1,3,"慶應"
"2001-10-30","東京六大学","東大",6,2,"立教"
"2001-10-30","東京六大学","東大",3,7,"明治"
"2001-10-30","東京六大学","法政",11,0,"東大"
"2001-10-30","東京六大学","法政",2,3,"慶應"
"2001-10-30","東京六大学","法政",1,1,"明治"
"2001-10-30","東京六大学","法政",6,4,"明治"
"2001-10-30","東京六大学","法政",5,1,"早稲田"
"2001-10-30","東京六大学","法政",3,5,"立教"
"2001-10-30","東京六大学","法政",5,0,"立教"
"2001-10-30","東京六大学","立教",3,4,"明治"
"2001-10-30","東京六大学","立教",1,4,"明治"
"2001-10-30","東京六大学","立教",3,2,"早稲田"
"2001-10-30","東京六大学","立教",0,1,"早稲田"
"2001-10-30","東京六大学","立教",4,2,"東大"
"2001-10-30","東京六大学","立教",8,3,"東大"
"2001-10-30","東京六大学","立教",1,7,"慶應"
"2001-10-30","東京六大学","立教",1,3,"法政"
"2002-04-13","東京六大学","早稲田",1,0,"立教"
"2002-04-13","東京六大学","東大",0,8,"慶應"
"2002-04-14","東京六大学","慶應",7,1,"東大"
"2002-04-14","東京六大学","立教",3,9,"早稲田"
"2002-04-20","東京六大学","東大",0,2,"法政"
"2002-04-20","東京六大学","立教",4,1,"明治"
"2002-04-22","東京六大学","明治",7,2,"立教"
"2002-04-22","東京六大学","法政",19,1,"東大"
"2002-04-23","東京六大学","立教",0,3,"明治"
"2002-04-27","東京六大学","慶應",0,1,"明治"
"2002-04-27","東京六大学","早稲田",0,0,"法政"
"2002-04-28","東京六大学","明治",7,1,"慶應"
"2002-04-28","東京六大学","法政",2,5,"早稲田"
"2002-04-29","東京六大学","早稲田",3,4,"法政"
"2002-04-30","東京六大学","法政",4,1,"早稲田"
"2002-05-04","東京六大学","慶應",0,0,"立教"
"2002-05-04","東京六大学","東大",0,4,"早稲田"
"2002-05-05","東京六大学","早稲田",19,0,"東大"
"2002-05-05","東京六大学","立教",0,7,"慶應"
"2002-05-06","東京六大学","慶應",2,3,"立教"
"2002-05-08","東京六大学","立教",5,3,"慶應"
"2002-05-11","東京六大学","東大",1,4,"明治"
"2002-05-11","東京六大学","立教",2,1,"法政"
"2002-05-12","東京六大学","明治",8,0,"東大"
"2002-05-12","東京六大学","法政",1,3,"立教"
"2002-05-18","東京六大学","慶應",2,0,"法政"
"2002-05-18","東京六大学","早稲田",2,0,"明治"
"2002-05-19","東京六大学","明治",1,3,"早稲田"
"2002-05-19","東京六大学","法政",0,2,"慶應"
"2002-05-25","東京六大学","明治",0,2,"法政"
"2002-05-25","東京六大学","東大",1,9,"立教"
"2002-05-26","東京六大学","法政",9,7,"明治"
"2002-05-26","東京六大学","立教",4,0,"東大"
"2002-06-01","東京六大学","慶應",0,3,"早稲田"
"2002-06-02","東京六大学","慶應",7,1,"東大"
"2002-06-02","東京六大学","慶應",0,1,"明治"
"2002-06-02","東京六大学","慶應",0,0,"立教"
"2002-06-02","東京六大学","慶應",2,3,"立教"
"2002-06-02","東京六大学","慶應",2,0,"法政"
"2002-06-02","東京六大学","慶應",0,3,"早稲田"
"2002-06-02","東京六大学","早稲田",1,0,"立教"
"2002-06-02","東京六大学","早稲田",0,0,"法政"
"2002-06-02","東京六大学","早稲田",3,4,"法政"
"2002-06-02","東京六大学","早稲田",19,0,"東大"
"2002-06-02","東京六大学","早稲田",2,0,"明治"
"2002-06-02","東京六大学","早稲田",5,3,"慶應"
"2002-06-02","東京六大学","明治",7,2,"立教"
"2002-06-02","東京六大学","明治",7,1,"慶應"
"2002-06-02","東京六大学","明治",8,0,"東大"
"2002-06-02","東京六大学","明治",1,3,"早稲田"
"2002-06-02","東京六大学","明治",0,2,"法政"
"2002-06-02","東京六大学","東大",0,8,"慶應"
"2002-06-02","東京六大学","東大",0,2,"法政"
"2002-06-02","東京六大学","東大",0,4,"早稲田"
"2002-06-02","東京六大学","東大",1,4,"明治"
